example_id,split,sampling_stratum,message,correct_intent,correct_route,good_reply_should_mention,reply_must_not_claim,reviewer_name,human_reviewed,conversation_id,target_tweet_id,history_tweet_ids
amazon_test_060,test,random,"[HANDLE] received email saying item delivered today I stay in all day. 7pm email saying first delivery unsuccessful. I was in all day. No card no nothing, can u explain?",,,,,,NO,2852883,2852883,
amazon_test_061,test,random,"[HANDLE] hey AMAZON..PET PAVILION gifts SUCK! I order an item 3 WEEKS ago, I get an email TODAY saying “SORRY it’ll be another WEEK!”",,,,,,NO,463355,463355,
amazon_test_062,test,random,Ooh baby! Look what Just arrived in the mail [HANDLE] ahead of schedule THX to [HANDLE] [URL],,,,,,NO,91241,91241,
amazon_test_063,test,challenge,[HANDLE] m’a bloqué l’achat de couche car conso inhabituelle !! Changez-vous votre bébé? Suspicion de fraude à + de 3 couches/jours! Un délire. Merci pour ce moment #Amazonfr !,,,,,,NO,2829518,2829518,
amazon_test_064,test,random,"[HANDLE] I'm so sick of paying for this service, getting a notification that it's been delivered and my stuff is no where to be found.",,,,,,NO,2869559,2869559,
amazon_test_065,test,random,Just had a great customer service experience with [HANDLE] My local post office assumed my business was closed so Amazon sent me an email saying they attempted to deliver. I chat connected with Gwyneth [HANDLE] who called my local post office and got the package delivered. Awesome,,,,,,NO,542151,542151,
amazon_test_066,test,challenge,[HANDLE] £50.00 worth of goods just left outside my front door? [URL],,,,,,NO,450764,450764,
amazon_test_067,test,random,"[HANDLE] I received my parcel y'day. The invoice, your seller has sent, is half of the actual size. And you have also not mentioned the Delivery charges i paid. [HANDLE] [URL]",,,,,,NO,464343,464343,
amazon_test_068,test,challenge,"[HANDLE] [HANDLE] (12/12) I know, I know... ""First World/White People Problems."" But.. $580. It hurts. I'm not wealthy by any means. It hurts and is embarrassing and I'm just gonna cry now. ¯\_(ツ)_/¯",,,,,,NO,492163,492163,
amazon_test_069,test,random,[HANDLE] can someone contact me about an order that has been placed on amazon.de not by me. I have received emails in German that I can’t read. Customer where no help.,,,,,,NO,480468,480468,
amazon_test_070,test,challenge,[HANDLE] cheated me...sell me a dead phone and didn't replace...I will never buy anything from [HANDLE] ....fuck off 😡😡😡,,,,,,NO,535811,535811,
amazon_test_071,test,random,Thanks [HANDLE] for the mat in my box of packaging. Was this seriously the most appropriate way to deliver this? Although I do get to spend the rest of the week thinking of 1001 uses for packaging paper - and I could probably do most of them with this much #reducepackagingwaste [URL],,,,,,NO,2856566,2856566,
amazon_test_072,test,challenge,Once again amazon proved ....they are worst .... Fully fedup.. Fraud companies..just irritating people .... GO TO HELL ....customer ki kou aaukat hi nhi hai...#amazon ke baap ka raaj hi chle ga bsss ....BC [HANDLE] #Baad Main jaye #Amazon ..... Local shops are best ...,,,,,,NO,551226,551226,
amazon_test_073,test,random,"[HANDLE] hey what's the point in running quiz on your app if you are not going to declare the winners, please let me know if there is a place where I can check it.",,,,,,NO,2978198,2978198,
amazon_test_074,test,challenge,Amazonとかいう企業、神なのでは（Amazonビデオのプライム会員特典ラインナップを見ながら,,,,,,NO,2868320,2868320,
amazon_test_075,test,random,[HANDLE] [HANDLE] if Amazon can't handle HDTV orders and get things delivered when their supposed to maybe leave that to [HANDLE] or [HANDLE] 3 days and no status update for prime member. Good stuff,,,,,,NO,453322,453322,
amazon_test_076,test,challenge,Please fix this bug in IOS. Annoyed. [HANDLE] [HANDLE] [HANDLE] [HANDLE] [URL],,,,,,NO,465872,465872,
amazon_test_077,test,random,[HANDLE] stop having your drivers lie and say they attempted to deliver a package when they didn’t.,,,,,,NO,2923485,2923485,
amazon_test_078,test,challenge,[HANDLE] I’m so annoyed with ur service and having ur customer service agents lie to me,,,,,,NO,562874,562874,
amazon_test_079,test,random,First [HANDLE] delays the shipment of my game then [HANDLE] treats it like shit. This is what I get for wanting to save $5 [URL],,,,,,NO,2969426,2969426,
amazon_test_080,test,random,[HANDLE] when the delivery driver leaves all your parcels outside in the rain without leaving a note 🙈 [URL],,,,,,NO,2917237,2917237,
amazon_test_081,test,challenge,How i was charged more than MRP by amazon India [URL],,,,,,NO,2984604,2984604,
amazon_test_082,test,random,"Have to give credit where credit is due, [HANDLE] totally stepped up and took care of the issues with my package and delivery photo (in record time and went way further to make me happy than expected). Prime Pays #AmazonPrime",,,,,,NO,2873301,2873301,
amazon_test_083,test,challenge,[HANDLE] ridiculous service. Why say guarantee next day delivery when you can't do it. Going on 4 days now and we pay for this crap. Ridiculous,,,,,,NO,464315,464315,
amazon_test_084,test,random,"[HANDLE] I ordered this Sunday and have yet to recieve confirmation this is being shipped. All other PC parts have shipped and their prices have not changed, but my GPU i bought for $200 is now priced at $250 and any info is being delayed. What gives? [URL]",,,,,,NO,2956082,2956082,
amazon_test_085,test,random,"[HANDLE] already contacted cs for last 4 days.No resolve.moreover bad language from delivery agents,delivery team #bally",,,,,,NO,2866083,2866083,
amazon_test_086,test,random,"Amazon, UPS idk which one of y'all playing but Ima need my package ASAP❗️",,,,,,NO,99849,99849,
amazon_test_087,test,random,Shoutout to sherry from [HANDLE] for helping me with me lost package all my family’s Christmas presents are now safe and sound.,,,,,,NO,2927087,2927087,
amazon_test_088,test,random,[HANDLE] amazon prime package was said to be delivered today by 9pm!!! Its almost 12am,,,,,,NO,2875083,2875083,
amazon_test_089,test,challenge,アマゾンエコー購入 [URL],,,,,,NO,579139,579139,
amazon_test_090,test,random,Disappointing from [HANDLE] had parcel out for delivery for 2 days. No idea if it will actually arrive this week.,,,,,,NO,63871,63871,
amazon_test_091,test,random,"[HANDLE] failed delivery of my [HANDLE] mavic today, and won’t re-route it to where I’m flying tonight unless I buy a new one #fail #usps",,,,,,NO,2832898,2832898,
amazon_test_092,test,challenge,Amazon Fire TVの調子がすこぶる悪い。。。 DAZNとかスポナビライブの各アプリを押しても固まってしまう。。。,,,,,,NO,2883380,2883380,
amazon_test_093,test,random,"Hi [HANDLE], needing help with a lost parcel. Says it was delivered and left in shed Friday lunchtime but it’s not there and there’s no note left or anything?",,,,,,NO,2855236,2855236,
amazon_test_094,test,random,[HANDLE] website won’t let me use the pantry10 code on my first order 😩,,,,,,NO,93662,93662,
amazon_test_095,test,random,"If I had a nickel for every time [HANDLE] broke its two day delivery guarantee, I probably wouldn't be [HANDLE] wealthy, but I could probably retire early.",,,,,,NO,542213,542213,
amazon_test_096,test,random,"So I've waited in for my items. Not received them even though carrier has lied and said delivered by ""handed to resident"". Items are being resent to be delivered tomorrow, and I can't be in all day tomorrow. [HANDLE] No doubt I'll miss my items.",,,,,,NO,2840113,2840113,
amazon_test_097,test,random,Thanks [HANDLE] Huge barbie house delivered with photos all over it. Where’s your packaging? It was obviously a Christmas gift. You’ve just made a little girl not believe in #Santa,,,,,,NO,2840235,2840235,
amazon_test_098,test,random,Wow! [HANDLE] has managed to screw up or lose four orders in as many weeks. Guess they’re too worried about delivering now to worry about the people who helped them get there.,,,,,,NO,2876352,2876352,
amazon_test_099,test,challenge,ついに無料体験からだけどAmazonプライム始めてみた。これで月400円なら音楽だけでも元が取れるかもしれん。,,,,,,NO,568334,568334,
amazon_test_100,test,challenge,Y 4 días después del envío en 24h recibo por fin mi pedido... [HANDLE] [HANDLE] [URL],,,,,,NO,2886549,2886549,
amazon_test_101,test,random,Possessori di #kindle: esiste l'opzione pagine e non percentuale?,,,,,,NO,86030,86030,
amazon_test_102,test,random,"[HANDLE] bei einer meiner Bestellungen beim Wählen von ""Lieferung nachverfolgen"" komm ich wieder auf Details zur Lieferung. Sowohl im Browser als auch auf der App. Allgemeiner Fehler oder nur bei mir?",,,,,,NO,2943155,2943155,
