output_id,example_id,customer_message,candidate_reply,retrieved_evidence,acceptable_points,forbidden_claims,groundedness,relevance,helpfulness,tone,privacy_violation,unsupported_action_claim,unsafe_instruction,critical_hallucination
rating_7d8d3b54c690a80e,amazon_test_052,Does anyone know how to change Amazon Echo's language to English Canada?It only gives me English US and English UK and it deleted all my skills until I change it to Canada! ARGH #iot #smarthome #tech #amazonecho [HANDLE] [URL],I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_1137863"", ""problem"": ""[HANDLE] Will i be able to change alexa voice to English US?????"", ""response"": ""[HANDLE] Yes you will be able to do the same .""}, {""case_id"": ""amazon_857760"", ""problem"": ""[HANDLE] Using Echo Plus in India, but English (India) is not available in settings. How to force update the device software?"", ""response"": ""[HANDLE] Login with your amazon credentials. Click on Settings and set country to India. ^AK (2/2)""}, {""case_id"": ""amazon_1657851"", ""problem"": ""[HANDLE] pl make plex #alexa skill available for English-India language too. [HANDLE] launched #echo last week, but Plex skill is not showing"", ""response"": ""[HANDLE] Thousands of Indian & global developers are bringing more than 10,000 skills to customers in India. We'll add them soon.""}, {""case_id"": ""amazon_439639"", ""problem"": ""[HANDLE] Hi! We have a fire stick purchased in Canada, but are moving to the UK. Can we use it in the UK? Will we need a power converter?"", ""response"": ""[HANDLE] You would definitely need adapter at the least. Your account's marketplace would need to change to the UK as well.""}, {""case_id"": ""amazon_387147"", ""problem"": ""[HANDLE] Please Share the link where we can find all old app quiz contest winner without going through [HANDLE].. thanx (Don't blame my English)"", ""response"": ""[HANDLE] You may find the recent contest results here: [URL]""}]","[""address the digital service or app issue"", ""investigate technical troubleshooting steps""]","[""promise immediate technical resolution"", ""state that the bug is already fixed globally""]",,,,,,,,
rating_978fff360bed926f,amazon_test_125,"Usually [HANDLE] is pretty good with deliveries however, my last order has been a pain. I don’t like being lied to. I made a purchase that came with free 1 day shipping with a purchase of $35 or more. Its been 4 days and still nothing. This is unacceptable..","[HANDLE] Hi [NAME]. My apologies. If you haven't used the benefits, you can cancel for a refund here: [URL]","[{""case_id"": ""amazon_2162886"", ""problem"": ""[HANDLE] I have been charged for a new year of Prime after being on a free student membership and with no email saying my subscription(1/2)"", ""response"": ""[HANDLE] Hi [NAME]. My apologies. If you haven't used the benefits, you can cancel for a refund here: [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_b50adb192951a34e,amazon_test_012,[HANDLE] Hi. We accidentally bought multiple copies of a Kindle book and only need 1. Can you help us return the extra ones? It's a Xmas present so we're unable to log onto the individual's Kindle. Thx!,Thanks for contacting us. A support specialist will review your request.,[],"[""address the return request"", ""explain the return process and verify eligibility""]","[""guarantee a full refund immediately"", ""state that the return is already processed""]",,,,,,,,
rating_6b435de601d2bc04,amazon_test_111,I swear to GOD if my [HANDLE] package doesn't get here for Christmas..... I'll freak the hell out,I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_180465"", ""problem"": ""When I pay for next day shipping, I expect my package to get here the next day! Being delayed two days is unacceptable. [HANDLE]"", ""response"": ""[HANDLE] I'm sorry your package is delayed! Has a new delivery date been provided? Also, who's the carrier: [URL]""}, {""case_id"": ""amazon_1929436"", ""problem"": ""[HANDLE] yes looked in them all ! If I apply again I'll get charged twice !"", ""response"": ""[HANDLE] Please visit us at the following link, and click \""Manage Returns\"" to find your label: [URL]""}, {""case_id"": ""amazon_2161883"", ""problem"": ""Ok. Why is amazon being like this. Last night I paid for my order and today. 3 times I get emails saying my payment was declined. The money has literally been taken from my account. What in the heck r u on bros I swear if it doesn’t come on time"", ""response"": ""[HANDLE] Sorry to hear about this. Please reach out to us here: [URL] and we can look into it.""}, {""case_id"": ""amazon_1078424"", ""problem"": ""[HANDLE] How come when I pay for 1 day shipping on Thursday, my package still isn't here."", ""response"": ""[HANDLE] The shipping speed refers to items transit time. We aim to the meet the date in checkout. Has this date passed?""}, {""case_id"": ""amazon_2353776"", ""problem"": ""[HANDLE] i pay for prime, note for delivery was to leave package at door, amazon alert just stated delivery attempted & i'll have to wait an extra day"", ""response"": ""[HANDLE] I'm sorry for the poor experience, [NAME]! To clarify, who was the carrier for this shipment? You can find this information here: [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_2509815e27cf3320,amazon_test_021,"hey. HEY. [HANDLE] how is it that [HANDLE] can identify two editions are the same, but you can't? i rebought a kindle book i already had because of this!",[HANDLE] Sorry about that! Please reach out to us via this link: [URL] and we can help with this charge.,"[{""case_id"": ""amazon_2671590"", ""problem"": ""[HANDLE] What link? Because I don't have a kindle account so I can't use that link????"", ""response"": ""[HANDLE] Sorry about that! Please reach out to us via this link: [URL] and we can help with this charge.""}]","[""address the digital service or app issue"", ""investigate technical troubleshooting steps""]","[""promise immediate technical resolution"", ""state that the bug is already fixed globally""]",,,,,,,,
rating_57247019d107d328,amazon_test_138,"Hey [HANDLE], guess what time it is? It's time to play my favorite game! ""Amazon Logistics fails to deliver Amazon orders on time/at all."" AMZL is 0 for 4 in a row. You've entirely lost this order, apparently.",Thanks for contacting us. A support specialist will review your request.,[],"[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_c821bb26b54a9fd2,amazon_test_031,"You've outdone yourselves this time [HANDLE]. I saw the delivery guy hanging around outside, so went out and asked if it was a parcel for me (gave name and address) and he said no. 5 minutes later I get a message that my parcel has been delivered and left behind the wheelie bin!",I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_842163"", ""problem"": ""[HANDLE] [HANDLE] I had a guy leave a message for a dropoff. He said \""Hello......hello....hello?...... Fuck It\"" and took my package back!"", ""response"": ""[HANDLE] I'm so sorry about this, [NAME]. Please send us your details here so we can investigate this: [URL]""}, {""case_id"": ""amazon_2467219"", ""problem"": ""[HANDLE] parcel says it was delivered and put in/near a shed. We don’t have a shed and I can’t find the parcel?!"", ""response"": ""[HANDLE] Terribly sorry about that, [NAME]! We'd love to help. Please give us a ring or chat here! [URL]""}, {""case_id"": ""amazon_737230"", ""problem"": ""so [HANDLE] just delivered a parcel 'to resident - Miss Evra' ... even tho home is empty and this name is not known ... 😂🧐🤔"", ""response"": ""[HANDLE] Sorry to hear. Was this an order you placed? Have you contacted us directly about it? What was advised?""}, {""case_id"": ""amazon_1771686"", ""problem"": ""[HANDLE] You are completely useless. 1st order not delivered after 8 days;cancelled;reordered;after 3 days no delivery. \""Left with neighbour\"" I HAVE NO NEIGHBOURS. The parcel has been left with someone in a completely different street. Now asking me to cancel and reorder. WHAT !!?"", ""response"": ""[HANDLE] Hi [NAME]. Sorry for the poor experience. This is not the service we expect. Was it the same carrier on both occasions?""}, {""case_id"": ""amazon_253421"", ""problem"": ""[HANDLE] my cousin right now has informed me that the package hasn't been delivered and supposingly I gave a couple of more days 😕"", ""response"": ""[HANDLE] We'd like to take a second look into this. When you have a moment, please reach us here: [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_b2c4a511bf7db527,amazon_test_016,[HANDLE] Daily I have been playing your quiz on Amazon App. Where do you declare the winners of these quiz? And How do I know if I am a winner?,[HANDLE] You may find the recent contest results here: [URL],"[{""case_id"": ""amazon_387147"", ""problem"": ""[HANDLE] Please Share the link where we can find all old app quiz contest winner without going through [HANDLE].. thanx (Don't blame my English)"", ""response"": ""[HANDLE] You may find the recent contest results here: [URL]""}]","[""address the digital service or app issue"", ""investigate technical troubleshooting steps""]","[""promise immediate technical resolution"", ""state that the bug is already fixed globally""]",,,,,,,,
rating_c82c7341900aaa79,amazon_test_015,[HANDLE] put something in my cart last night to order in the morning and the priced went up 5 bucks. Same thing with my husband priced up 50 this morning. #AngryAmazonprimeMember,[HANDLE] Kindly note that this is the lowest price we can offer at this point of time.,"[{""case_id"": ""amazon_1706564"", ""problem"": ""How [HANDLE] cheat their customers. Before logging in the product was priced at Rs.451. After logging in with prime account it's Rs.502..😑 [URL]"", ""response"": ""[HANDLE] Kindly note that this is the lowest price we can offer at this point of time.""}]","[""address the Prime or account issue"", ""check membership status and benefits""]","[""promise a refund for membership fees"", ""state that the account is already updated""]",,,,,,,,
rating_12fbd60598e53f03,amazon_test_147,"When my [HANDLE] order finally gets delivered, I get that Christmas/Birthday feeling every time. And I’m even more excited when it comes earlier than expected!",I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_286234"", ""problem"": ""[HANDLE] [HANDLE] that's for ruining my birthday by not delivering the order on time even tho it was place 2 days ago!!!"", ""response"": ""[HANDLE] We're sorry to miss a special occasion. Did you happen to report this to us, here: [URL]""}, {""case_id"": ""amazon_1436640"", ""problem"": ""That feeling at work when you see everyone elses [HANDLE] packages arrive but yours doesn;t. [URL]"", ""response"": ""[HANDLE] Don't fret yet! We can deliver up until 21:00. Please let us know if you don't receive your parcel!""}, {""case_id"": ""amazon_2347753"", ""problem"": ""[HANDLE] USPS was assigned the delivery. I can't even remember the last time something arrived when checkout said it would."", ""response"": ""[HANDLE] Have you had a chance to reach out to USPS directly about the delayed orders? We can also leave carrier feedback for you as well here: [URL]""}, {""case_id"": ""amazon_806328"", ""problem"": ""[HANDLE] [HANDLE] I’m still waiting for my order that should have been delivered on the 10th"", ""response"": ""[HANDLE] I'm terribly sorry you didn't receive your package. Was the order shipped by us or a seller? We'd definitely like to help!""}, {""case_id"": ""amazon_2242556"", ""problem"": ""[HANDLE] Worst Service ever. After more than 1.5 month order is not delivered [PHONE]."", ""response"": ""[HANDLE] Sorry for the delay in delivery of your order. Kindly share your details (1/2)""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_2c7d0f25cb1876b9,amazon_test_138,"Hey [HANDLE], guess what time it is? It's time to play my favorite game! ""Amazon Logistics fails to deliver Amazon orders on time/at all."" AMZL is 0 for 4 in a row. You've entirely lost this order, apparently.",I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_2295523"", ""problem"": ""[HANDLE] third time in a row I’ve ordered from Amazon Prime and it takes almost a week to arrive. What’s the point of being a Prime member if it doesn’t arrive on time?"", ""response"": ""[HANDLE] I'm so sorry for the delay of your order. We always strive to make the delivery date provided in the initial confirmation e-mail. Have we missed this date: [URL]""}, {""case_id"": ""amazon_811582"", ""problem"": ""[HANDLE] the AMZL tracking and delivery experience is the worst of all time."", ""response"": ""[HANDLE] We'd like to help out. Are you having a current issue with an AMZL delivery?""}, {""case_id"": ""amazon_1267115"", ""problem"": ""[HANDLE] please note the time of this email USPS didn't try to deliver anything at this time of night, quit letting them lie to you [URL]"", ""response"": ""[HANDLE] Terribly sorry for the frustration! Let's reach out to the carrier together to get this sorted: [URL]""}, {""case_id"": ""amazon_724597"", ""problem"": ""What is the point of preordering a book on [HANDLE] if it doesn't arrive on time? Like you guys had PLENTY of time. Last time I do that."", ""response"": ""[HANDLE] Letting you down is never what we want! To confirm, have we missed the delivery date confirmed via e-mail?""}, {""case_id"": ""amazon_2450564"", ""problem"": ""[HANDLE] This isn't the first time this has happened either I'm going to make sure that I don't order something thats delivered by Amazon logistics"", ""response"": ""[HANDLE] I'm so sorry for the poor delivery experience. Please reach out to us here:[URL] so we can investigate this.""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_b27c311b208bb11c,amazon_test_144,"[HANDLE] what's up with a package being delivered on the roof of my car? First the trash, now this? WTF?",[HANDLE] I'm sorry you've been given different info. Please let us know the carrier and latest tracking shown at the link provided.,"[{""case_id"": ""amazon_1562339"", ""problem"": ""[HANDLE] Yeah on the phone with a new operator and he said it’s delivered but I’m at my house with no package... what kind of bs?"", ""response"": ""[HANDLE] I'm sorry you've been given different info. Please let us know the carrier and latest tracking shown at the link provided.""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_806d2dce5a43706d,amazon_test_145,Have to give credit to [HANDLE] ... delivery problem and customer service sorted it out with a replacement right away and has promised to never ship with [HANDLE] again. Fair resolution. Quick. Decisive. Heard my concern and acted. Thanks.,[HANDLE] Glad everything was sorted out Thanks for the update.,"[{""case_id"": ""amazon_1337163"", ""problem"": ""[HANDLE] Spoken to customer service and a full refund has been organised. Thanks for your help 👍"", ""response"": ""[HANDLE] Glad everything was sorted out Thanks for the update.""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_acbf739c250df100,amazon_test_145,Have to give credit to [HANDLE] ... delivery problem and customer service sorted it out with a replacement right away and has promised to never ship with [HANDLE] again. Fair resolution. Quick. Decisive. Heard my concern and acted. Thanks.,Thanks for contacting us. A support specialist will review your request.,[],"[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_d00d8dbdb6e9a9ba,amazon_test_017,キリがいいので、今日からアマゾンプライム会員になった 今日からだとちょうど年末で無料期間終わって来年から年契約課金になるから、覚えやすい,A support specialist will review your request.,[],"[""request clarification regarding the user's issue"", ""extend support for any further questions""]","[""claim to fully understand the ambiguous problem"", ""provide definitive troubleshooting without context""]",,,,,,,,
rating_9008024dec0280fc,amazon_test_021,"hey. HEY. [HANDLE] how is it that [HANDLE] can identify two editions are the same, but you can't? i rebought a kindle book i already had because of this!",Thanks for contacting us. A support specialist will review your request.,[],"[""address the digital service or app issue"", ""investigate technical troubleshooting steps""]","[""promise immediate technical resolution"", ""state that the bug is already fixed globally""]",,,,,,,,
rating_638184e5aca645ab,amazon_test_052,Does anyone know how to change Amazon Echo's language to English Canada?It only gives me English US and English UK and it deleted all my skills until I change it to Canada! ARGH #iot #smarthome #tech #amazonecho [HANDLE] [URL],[HANDLE] Yes you will be able to do the same .,"[{""case_id"": ""amazon_1137863"", ""problem"": ""[HANDLE] Will i be able to change alexa voice to English US?????"", ""response"": ""[HANDLE] Yes you will be able to do the same .""}]","[""address the digital service or app issue"", ""investigate technical troubleshooting steps""]","[""promise immediate technical resolution"", ""state that the bug is already fixed globally""]",,,,,,,,
rating_d00e764f75dd0962,amazon_test_125,"Usually [HANDLE] is pretty good with deliveries however, my last order has been a pain. I don’t like being lied to. I made a purchase that came with free 1 day shipping with a purchase of $35 or more. Its been 4 days and still nothing. This is unacceptable..",I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_2162886"", ""problem"": ""[HANDLE] I have been charged for a new year of Prime after being on a free student membership and with no email saying my subscription(1/2)"", ""response"": ""[HANDLE] Hi [NAME]. My apologies. If you haven't used the benefits, you can cancel for a refund here: [URL]""}, {""case_id"": ""amazon_1604138"", ""problem"": ""[HANDLE] I just made a payment, the site says there was a problem with payment but I got a msg saying order is confirmed. Can you tell me if it has been or not?"", ""response"": ""[HANDLE] We'll look into it. 2/2""}, {""case_id"": ""amazon_180465"", ""problem"": ""When I pay for next day shipping, I expect my package to get here the next day! Being delayed two days is unacceptable. [HANDLE]"", ""response"": ""[HANDLE] I'm sorry your package is delayed! Has a new delivery date been provided? Also, who's the carrier: [URL]""}, {""case_id"": ""amazon_2117788"", ""problem"": ""[HANDLE] I have made a purchase of oneplu5 with an offer of 2000 rs cash back on credit card payment within 7 Nov. I hvnt received yet!!"", ""response"": ""[HANDLE] I would like to help you, could you please confirm if you are referring to Sept, Axis bank cashback?""}, {""case_id"": ""amazon_2610733"", ""problem"": ""[HANDLE] what a joke! Pay for prime for next day delivery. 3 days later still no order. And last 4 emails from them are auto response with nobody answering my questions! [HANDLE]"", ""response"": ""[HANDLE] Hello, I am sorry to hear this parcel has yet to reach you. What was the date provided to you via email confirmation when you placed the order ? We certainly will try to help if possible.""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_b371ad2628b2331f,amazon_test_147,"When my [HANDLE] order finally gets delivered, I get that Christmas/Birthday feeling every time. And I’m even more excited when it comes earlier than expected!","[HANDLE] We're sorry to miss a special occasion. Did you happen to report this to us, here: [URL]","[{""case_id"": ""amazon_286234"", ""problem"": ""[HANDLE] [HANDLE] that's for ruining my birthday by not delivering the order on time even tho it was place 2 days ago!!!"", ""response"": ""[HANDLE] We're sorry to miss a special occasion. Did you happen to report this to us, here: [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_2a2c5c35497597fb,amazon_test_115,[HANDLE] why do my prime delivery dates keep changing? Some orders are taking 5 days!what gives? #changingdates,[HANDLE] I'm sorry for the recurring charge! Have you contacted us to look into this? If not. we're avail: [URL],"[{""case_id"": ""amazon_307910"", ""problem"": ""[HANDLE] why you keep taking money from my account every month."", ""response"": ""[HANDLE] I'm sorry for the recurring charge! Have you contacted us to look into this? If not. we're avail: [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_4826b31b82a9d21a,amazon_test_122,[HANDLE] come on Amazon sort your Muppet delivery drivers out.. [URL],Thanks for contacting us. A support specialist will review your request.,[],"[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
rating_7d9dcbc4d946b14b,amazon_test_008,Nice job [HANDLE]! You’re earning a lot of brownie points with me. Pretty sad that this is yet another item that was shipped right away and now it’s not arriving on it’s planned date. This is the message I received. In another message it states they “think” it’ll come Dec. 1. [URL],I’m sorry you’re dealing with this. Human support needs to review your request. I cannot check account details or perform account actions.,"[{""case_id"": ""amazon_1772658"", ""problem"": ""[HANDLE] Yes the order [PHONE] is not going to arrive tonight as it claimed and I know this because it happens everytime that it leaves a facility that is 2hrs away from my house. It’s 7pm and still no packages."", ""response"": ""@[PHONE]/2) Thanks for the update! We don't have access to your account on Twitter & recommend that you remove personal information.""}, {""case_id"": ""amazon_1756468"", ""problem"": ""It says “on the way - delivery attempted” - but I told you what happened - mail carrier pulled into driveway & said “it’s on another truck.” [URL]"", ""response"": ""[HANDLE] We'd like to take a look into this with you. When you have the chance, please reach out to us here: [URL]""}, {""case_id"": ""amazon_2377201"", ""problem"": ""[HANDLE] i need answers? y hasn’t it been shipped yet? y r we saying it’s arriving at 8 if it hasn’t been shipped? y can’t i track my package? where is my package? what the flip? [URL]"", ""response"": ""[HANDLE] We're here to help! What does current tracking information show? You can find that information here: [URL]""}, {""case_id"": ""amazon_1330262"", ""problem"": ""Hey [HANDLE] you didn't actually deliver my stuff. Does this mean you delivered it to the wrong place or that you only THINK you delivered it, and will it be resent today as the card I got through the door states it will? [URL]"", ""response"": ""[HANDLE] Hi, apologies for the lack of clarity. Our carrier deliver until 9pm today. Have you set a safe place/neighbour preference?""}, {""case_id"": ""amazon_791479"", ""problem"": ""[HANDLE] No delivery has ever been attempted, it’s a joke, it’s in stock, I live 20 mins away from where your holding it [URL]"", ""response"": ""[HANDLE] Sorry to hear this - pls contact us so we can escalate to the carrier : [URL]""}]","[""address the delivery concern"", ""investigate the location or status of the package""]","[""guarantee a specific delivery time"", ""state that the package is definitely lost""]",,,,,,,,
